Channel 1 (V),Channel 2 (V),Math 1 (mA)
-4.8638277587456908,-0.0023128619462676747,-0.01051300884667125
-4.8675273517900486,-0.0019779385992242382,-0.0089906299964738097
-4.8675273517900486,-0.0023128619462675225,-0.010513008846670557
-4.8712269448344072,-0.0023128619462676747,-0.01051300884667125
-4.8712269448344072,-0.0019779385992242382,-0.0089906299964738097
-4.8749265378787658,-0.0019779385992242382,-0.0089906299964738097
-4.8749265378787658,-0.0019779385992242382,-0.0089906299964738097
-4.8786261309231245,-0.0019779385992242382,-0.0089906299964738097
-4.8823257239674822,-0.0019779385992242382,-0.0089906299964738097
-4.8823257239674822,-0.0019779385992242382,-0.0089906299964738097
-4.8860253170118391,-0.0019779385992242382,-0.0089906299964738097
-4.8897249100561995,-0.0019779385992242382,-0.0089906299964738097
-4.8934245031005581,-0.0019779385992242382,-0.0089906299964738097
-4.8971240961449158,-0.0019779385992242382,-0.0089906299964738097
-4.8971240961449158,-0.0019779385992242382,-0.0089906299964738097
-4.8971240961449158,-0.0019779385992242382,-0.0089906299964738097
-4.9008236891892745,-0.0019779385992242382,-0.0089906299964738097
-4.8971240961449158,-0.0019779385992242382,-0.0089906299964738097
-4.9008236891892762,-0.0019779385992242382,-0.0089906299964738097
-4.9045232822336331,-0.0019779385992242382,-0.0089906299964738097
-4.9082228752779917,-0.0019779385992242382,-0.0089906299964738097
-4.9082228752779917,-0.0019779385992242382,-0.0089906299964738097
-4.9119224683223512,-0.0019779385992242382,-0.0089906299964738097
-4.9156220613667081,-0.0019779385992242382,-0.0089906299964738097
-4.9193216544110667,-0.0019779385992242382,-0.0089906299964738097
-4.9193216544110667,-0.0019779385992242382,-0.0089906299964738097
-4.9230212474554254,-0.0019779385992242382,-0.0089906299964738097
-4.9230212474554254,-0.0019779385992242382,-0.0089906299964738097
-4.9267208404997831,-0.0019779385992242382,-0.0089906299964738097
-4.9304204335441417,-0.0019779385992242382,-0.0089906299964738097
-4.9341200265885004,-0.0019779385992242382,-0.0089906299964738097
-4.9341200265885004,-0.0019779385992242382,-0.0089906299964738097
-4.9415192126772167,-0.0019779385992242382,-0.0089906299964738097
-4.9378196196328581,-0.0019779385992242382,-0.0089906299964738097
-4.9452188057215754,-0.0023128619462675225,-0.010513008846670557
-4.9452188057215754,-0.0019779385992242382,-0.0089906299964738097
-4.948918398765934,-0.0023128619462676747,-0.01051300884667125
-4.948918398765934,-0.0019779385992242382,-0.0089906299964738097
-4.9526179918102935,-0.0019779385992242382,-0.0089906299964738097
-4.9563175848546503,-0.0019779385992242382,-0.0089906299964738097
-4.960017177899009,-0.0023128619462676747,-0.01051300884667125
-4.960017177899009,-0.0023128619462676747,-0.01051300884667125
-4.9637167709433676,-0.0023128619462675225,-0.010513008846670557
-4.9637167709433676,-0.0019779385992242382,-0.0089906299964738097
-4.9674163639877253,-0.0019779385992242382,-0.0089906299964738097
-4.9674163639877253,-0.0019779385992242382,-0.0089906299964738097
